method,PIEs,MPPs,events,wind_size,result,processed_time(ms),if_query_include_finish_rels
PieStream,4,3,1000,1000,29,44,1
PieStream,4,3,1000,1000,29,42,0
PieStream,4,3,10000,10000,4915,141,1
PieStream,4,3,10000,10000,5026,140,0
PieStream,4,3,100000,100000,481677,1544,1
PieStream,4,3,100000,100000,500519,1656,0
PieStream,6,5,1000,1000,34,43,1
PieStream,6,5,1000,1000,34,41,0
PieStream,6,5,10000,10000,4003,141,1
PieStream,6,5,10000,10000,4356,151,0
PieStream,6,5,100000,100000,449672,1736,1
PieStream,6,5,100000,100000,468709,1714,0
PieStream,8,7,1000,1000,21,44,1
PieStream,8,7,1000,1000,21,41,0
PieStream,8,7,10000,10000,4193,177,1
PieStream,8,7,10000,10000,4194,259,0
PieStream,8,7,100000,100000,456910,1504,1
PieStream,8,7,100000,100000,471078,1802,0
