method,PIEs,MPPs,events,wind_size,result,processed_time(ms),if_query_include_finish_rels
PieStream,4,3,1000,1000,29,54,1
PieStream,4,3,1000,1000,29,53,0
PieStream,4,3,5000,5000,1053,85,1
PieStream,4,3,5000,5000,1105,91,0
PieStream,4,3,10000,10000,4915,142,1
PieStream,4,3,10000,10000,5026,139,0
PieStream,4,3,50000,50000,115762,521,1
PieStream,4,3,50000,50000,118716,694,0
PieStream,4,3,100000,100000,481677,1921,1
PieStream,4,3,100000,100000,500519,1757,0
PieStream,4,3,500000,500000,11889461,119063,1
PieStream,4,3,500000,500000,12329840,121992,0
