method,PIEs,MPPs,events,wind_size,rates,avg_process_latency(ns),result,processed_time(ms)
PieStream,4,3,1000000,10000,1000000,9096,17797,3090
PieStream,4,3,1000000,10000,1000000,9157,17797,3110
PieStream,4,3,1000000,10000,1000000,8550,17797,2987
PieStream,4,3,1000000,10000,1000000,9069,17797,3166
PieStream,4,3,1000000,10000,1000000,8924,17797,3024
PieStream,4,3,1000000,10000,1000000,8830,17797,3051
PieStream,4,3,1000000,10000,1000000,8814,17797,2886
PieStream,4,3,1000000,10000,1000000,9333,17797,3207
PieStream,4,3,1000000,10000,1000000,8347,17797,2890
PieStream,4,3,1000000,10000,1000000,8392,17797,2872
PieStream,4,3,1000000,10000,500000,8452,17797,2853
PieStream,4,3,1000000,10000,500000,8772,17797,3036
PieStream,4,3,1000000,10000,500000,8420,17797,2845
PieStream,4,3,1000000,10000,500000,8383,17797,2909
PieStream,4,3,1000000,10000,500000,9616,17797,3210
PieStream,4,3,1000000,10000,500000,8441,17797,2898
PieStream,4,3,1000000,10000,500000,8428,17797,2847
PieStream,4,3,1000000,10000,500000,8686,17797,2878
PieStream,4,3,1000000,10000,500000,8388,17797,2850
PieStream,4,3,1000000,10000,500000,8295,17797,2875
PieStream,4,3,1000000,10000,100000,22920,17797,10002
PieStream,4,3,1000000,10000,100000,23310,17797,9988
PieStream,4,3,1000000,10000,100000,23988,17797,9981
PieStream,4,3,1000000,10000,100000,23294,17797,9980
PieStream,4,3,1000000,10000,100000,23667,17797,9983
PieStream,4,3,1000000,10000,100000,24130,17797,9985
PieStream,4,3,1000000,10000,100000,23947,17797,9979
PieStream,4,3,1000000,10000,100000,23817,17797,9976
PieStream,4,3,1000000,10000,100000,24021,17797,9975
PieStream,4,3,1000000,10000,100000,24693,17797,9978
PieStream,4,3,1000000,10000,50000,40190,17797,19949
PieStream,4,3,1000000,10000,50000,39564,17797,19957
PieStream,4,3,1000000,10000,50000,39575,17797,19954
PieStream,4,3,1000000,10000,50000,38063,17797,19956
PieStream,4,3,1000000,10000,50000,37795,17797,19952
PieStream,4,3,1000000,10000,50000,40460,17797,19958
PieStream,4,3,1000000,10000,50000,39959,17797,19954
PieStream,4,3,1000000,10000,50000,39935,17797,19953
PieStream,4,3,1000000,10000,50000,40598,17797,19959
PieStream,4,3,1000000,10000,50000,41275,17797,19949
PieStream,4,3,1000000,10000,10000,50881,17797,99998
PieStream,4,3,1000000,10000,10000,49483,17797,99998
PieStream,4,3,1000000,10000,10000,49267,17797,99998
PieStream,4,3,1000000,10000,10000,49225,17797,99998
PieStream,4,3,1000000,10000,10000,49991,17797,99998
PieStream,4,3,1000000,10000,10000,48705,17797,99998
PieStream,4,3,1000000,10000,10000,50095,17797,99999
PieStream,4,3,1000000,10000,10000,48849,17797,99998
PieStream,4,3,1000000,10000,10000,49626,17797,99998
PieStream,4,3,1000000,10000,10000,47616,17797,99998
PieStream,4,3,1000000,10000,5000,57210,17797,200000
PieStream,4,3,1000000,10000,5000,54698,17797,199999
PieStream,4,3,1000000,10000,5000,56713,17797,200000
PieStream,4,3,1000000,10000,5000,55248,17797,199999
PieStream,4,3,1000000,10000,5000,56780,17797,200000
PieStream,4,3,1000000,10000,5000,56886,17797,200000
PieStream,4,3,1000000,10000,5000,55933,17797,199999
PieStream,4,3,1000000,10000,5000,55629,17797,200000
PieStream,4,3,1000000,10000,5000,56114,17797,200000
PieStream,4,3,1000000,10000,5000,54744,17797,200000
PieStream,4,3,1000000,10000,1000,73411,17797,999999
PieStream,4,3,1000000,10000,1000,72899,17797,1000000
PieStream,4,3,1000000,10000,1000,73544,17797,999999
PieStream,4,3,1000000,10000,1000,72169,17797,1000000
PieStream,4,3,1000000,10000,1000,74031,17797,1000000
PieStream,4,3,1000000,10000,1000,75372,17797,1000000
PieStream,4,3,1000000,10000,1000,76004,17797,1000000
PieStream,4,3,1000000,10000,1000,75480,17797,999999
PieStream,4,3,1000000,10000,1000,75346,17797,999999
PieStream,4,3,1000000,10000,1000,75183,17797,999999
