(DELL_G7)method,PIEs,MPPs,events,wind_size,rates,avg_process_latency(ns),result,all_used_time(ms)
PieStream,4,3,10000000,10000,10000000,4293,37024,20611
PieStream,4,3,10000000,10000,10000000,4289,37024,20539
PieStream,4,3,10000000,10000,10000000,4300,37024,20233
PieStream,4,3,10000000,10000,10000000,4554,37024,20858
PieStream,4,3,10000000,10000,10000000,4397,37024,20456
PieStream,4,3,10000000,10000,10000000,4455,37024,20800
PieStream,4,3,10000000,10000,10000000,4434,37024,20381
PieStream,4,3,10000000,10000,10000000,4261,37024,20736
PieStream,4,3,10000000,10000,10000000,4332,37024,20212
PieStream,4,3,10000000,10000,10000000,4287,37024,20605
PieStream,4,3,10000000,10000,1000000,4290,37024,20352
PieStream,4,3,10000000,10000,1000000,4185,37024,20200
PieStream,4,3,10000000,10000,1000000,4169,37024,20521
PieStream,4,3,10000000,10000,1000000,4355,37024,20244
PieStream,4,3,10000000,10000,1000000,4301,37024,20950
PieStream,4,3,10000000,10000,1000000,4274,37024,20509
PieStream,4,3,10000000,10000,1000000,4355,37024,20483
PieStream,4,3,10000000,10000,1000000,4415,37024,20716
PieStream,4,3,10000000,10000,1000000,4338,37024,20217
PieStream,4,3,10000000,10000,1000000,4637,37024,21109
PieStream,4,3,10000000,10000,100000,19040,37024,99774
PieStream,4,3,10000000,10000,100000,18169,37024,99713
PieStream,4,3,10000000,10000,100000,18372,37024,99730
PieStream,4,3,10000000,10000,100000,18812,37024,99788
PieStream,4,3,10000000,10000,100000,17732,37024,99782
PieStream,4,3,10000000,10000,100000,18654,37024,99744
PieStream,4,3,10000000,10000,100000,17550,37024,99723
PieStream,4,3,10000000,10000,100000,19686,37024,99756
PieStream,4,3,10000000,10000,100000,18114,37024,99749
PieStream,4,3,10000000,10000,100000,18382,37024,99757
PieStream,4,3,10000000,10000,10000,28962,37024,999997
PieStream,4,3,10000000,10000,10000,28856,37024,999997
PieStream,4,3,10000000,10000,10000,28981,37024,999997
PieStream,4,3,10000000,10000,10000,28856,37024,999997
PieStream,4,3,10000000,10000,10000,28115,37024,999997
PieStream,4,3,10000000,10000,10000,29396,37024,999997
PieStream,4,3,10000000,10000,10000,29714,37024,999997
PieStream,4,3,10000000,10000,10000,28773,37024,999997
PieStream,4,3,10000000,10000,10000,28788,37024,999997
PieStream,4,3,10000000,10000,10000,29225,37024,999997
PieStream,4,3,10000000,10000,1000,49541,37024,10000000
PieStream,4,3,10000000,10000,1000,49639,37024,9999999
PieStream,4,3,10000000,10000,1000,50380,37024,9999999
PieStream,4,3,10000000,10000,1000,62795,37024,9999999
