(DELL_G7)method,PIEs,MPPs,events,wind_size,rates,avg_process_latency(ns),result,all_used_time(ms)
PieStream,4,3,10000000,10000,100000000,4311,37024,20430
PieStream,4,3,10000000,10000,100000000,4346,37024,20297
PieStream,4,3,10000000,10000,100000000,4323,37024,20802
PieStream,4,3,10000000,10000,100000000,4302,37024,20359
PieStream,4,3,10000000,10000,100000000,4341,37024,20324
PieStream,4,3,10000000,10000,100000000,4532,37024,21272
PieStream,4,3,10000000,10000,100000000,4333,37024,20426
PieStream,4,3,10000000,10000,100000000,4328,37024,20691
PieStream,4,3,10000000,10000,100000000,4406,37024,20699
PieStream,4,3,10000000,10000,100000000,4485,37024,20518
PieStream,4,3,10000000,10000,10000000,4670,37024,20867
PieStream,4,3,10000000,10000,10000000,4619,37024,20999
PieStream,4,3,10000000,10000,10000000,4354,37024,20423
PieStream,4,3,10000000,10000,10000000,4274,37024,20433
PieStream,4,3,10000000,10000,10000000,4718,37024,20824
PieStream,4,3,10000000,10000,10000000,4362,37024,21007
PieStream,4,3,10000000,10000,10000000,4165,37024,20324
PieStream,4,3,10000000,10000,10000000,4495,37024,21053
PieStream,4,3,10000000,10000,10000000,4287,37024,20122
PieStream,4,3,10000000,10000,10000000,4336,37024,20203
PieStream,4,3,10000000,10000,1000000,4410,37024,20632
PieStream,4,3,10000000,10000,1000000,4367,37024,20247
PieStream,4,3,10000000,10000,1000000,4295,37024,20246
PieStream,4,3,10000000,10000,1000000,4380,37024,20656
PieStream,4,3,10000000,10000,1000000,4303,37024,20395
PieStream,4,3,10000000,10000,1000000,4402,37024,20643
PieStream,4,3,10000000,10000,1000000,4332,37024,20071
PieStream,4,3,10000000,10000,1000000,4258,37024,20176
PieStream,4,3,10000000,10000,1000000,4303,37024,20347
PieStream,4,3,10000000,10000,1000000,4351,37024,20611
PieStream,4,3,10000000,10000,100000,18331,37024,99741
PieStream,4,3,10000000,10000,100000,18319,37024,99749
PieStream,4,3,10000000,10000,100000,18442,37024,99732
PieStream,4,3,10000000,10000,100000,19110,37024,99726
PieStream,4,3,10000000,10000,100000,18939,37024,99758
PieStream,4,3,10000000,10000,100000,18240,37024,99716
PieStream,4,3,10000000,10000,100000,17350,37024,99640
PieStream,4,3,10000000,10000,100000,18345,37024,99730
PieStream,4,3,10000000,10000,100000,19390,37024,99745
PieStream,4,3,10000000,10000,100000,17907,37024,99730
PieStream,4,3,10000000,10000,10000,28834,37024,999997
PieStream,4,3,10000000,10000,10000,28418,37024,999996
PieStream,4,3,10000000,10000,10000,29104,37024,999996
PieStream,4,3,10000000,10000,10000,29537,37024,999997
PieStream,4,3,10000000,10000,10000,28313,37024,999997
PieStream,4,3,10000000,10000,10000,28643,37024,999997
PieStream,4,3,10000000,10000,10000,29298,37024,999997
PieStream,4,3,10000000,10000,10000,28207,37024,999997
PieStream,4,3,10000000,10000,10000,28570,37024,999996
PieStream,4,3,10000000,10000,10000,29229,37024,999996
PieStream,4,3,10000000,10000,1000,45620,37024,10000000
PieStream,4,3,10000000,10000,1000,52002,37024,9999999
PieStream,4,3,10000000,10000,1000,49962,37024,9999999
PieStream,4,3,10000000,10000,1000,49174,37024,9999999
PieStream,4,3,10000000,10000,1000,50610,37024,9999999
PieStream,4,3,10000000,10000,1000,51002,37024,9999999
PieStream,4,3,10000000,10000,1000,61630,37024,9999999
PieStream,4,3,10000000,10000,1000,48381,37024,10000000
PieStream,4,3,10000000,10000,1000,48808,37024,9999999
PieStream,4,3,10000000,10000,1000,47289,37024,9999999
