(DELL_G7)method,PIEs,MPPs,events,wind_size,rates,avg_process_latency(ns),result,all_used_time(ms)
PieStream,4,3,10000000,10000,100000000,4326,37024,20452
PieStream,4,3,10000000,10000,100000000,4428,37024,20321
PieStream,4,3,10000000,10000,100000000,4544,37024,20766
PieStream,4,3,10000000,10000,100000000,4323,37024,20119
PieStream,4,3,10000000,10000,100000000,4280,37024,21167
PieStream,4,3,10000000,10000,10000000,4509,37024,20478
PieStream,4,3,10000000,10000,10000000,4403,37024,21065
PieStream,4,3,10000000,10000,10000000,4370,37024,20468
PieStream,4,3,10000000,10000,10000000,4233,37024,20926
PieStream,4,3,10000000,10000,10000000,4381,37024,20740
PieStream,4,3,10000000,10000,1000000,4302,37024,20669
PieStream,4,3,10000000,10000,1000000,4235,37024,20487
PieStream,4,3,10000000,10000,1000000,4449,37024,20583
PieStream,4,3,10000000,10000,1000000,4427,37024,20906
PieStream,4,3,10000000,10000,1000000,4320,37024,20345
PieStream,4,3,10000000,10000,100000,18366,37024,99757
PieStream,4,3,10000000,10000,100000,18735,37024,99763
PieStream,4,3,10000000,10000,100000,18386,37024,99771
PieStream,4,3,10000000,10000,100000,18435,37024,99757
PieStream,4,3,10000000,10000,100000,19075,37024,99760
PieStream,4,3,10000000,10000,10000,30410,37024,999996
PieStream,4,3,10000000,10000,10000,30280,37024,999995
PieStream,4,3,10000000,10000,10000,30452,37024,999996
PieStream,4,3,10000000,10000,10000,30079,37024,999996
PieStream,4,3,10000000,10000,10000,29781,37024,999996
