(DELL_G7)method,PIEs,MPPs,events,wind_size,rates,avg_process_latency(ns),result,all_used_time(ms)
PieStream,4,3,10000000,10000,100000000,4311,37024,20430
PieStream,4,3,10000000,10000,100000000,4346,37024,20297
PieStream,4,3,10000000,10000,100000000,4323,37024,20802
PieStream,4,3,10000000,10000,100000000,4302,37024,20359
PieStream,4,3,10000000,10000,100000000,4341,37024,20324
PieStream,4,3,10000000,10000,100000000,4532,37024,21272
PieStream,4,3,10000000,10000,100000000,4333,37024,20426
PieStream,4,3,10000000,10000,100000000,4328,37024,20691
PieStream,4,3,10000000,10000,100000000,4406,37024,20699
PieStream,4,3,10000000,10000,100000000,4485,37024,20518
PieStream,4,3,10000000,10000,1000,49962,37024,9999999
PieStream,4,3,10000000,10000,1000,49174,37024,9999999
PieStream,4,3,10000000,10000,1000,50610,37024,9999999
PieStream,4,3,10000000,10000,1000,51002,37024,9999999
PieStream,4,3,10000000,10000,1000,61630,37024,9999999
PieStream,4,3,10000000,10000,1000,48381,37024,10000000
PieStream,4,3,10000000,10000,1000,48808,37024,9999999
PieStream,4,3,10000000,10000,1000,47289,37024,9999999
PieStream,4,3,10000000,10000,1000,49255,37024,9999999
PieStream,4,3,10000000,10000,1000,50077,37024,9999999
