(DELL_G7)method,PIEs,MPPs,events,wind_size,result,all_used_time(ms),usePreciseRel
PieStream,3,2,8640000,10000,95,25816,1
PieStream,3,2,8640000,10000,95,25051,1
PieStream,3,2,8640000,10000,95,25185,1
PieStream,3,2,8640000,10000,95,25315,1
PieStream,3,2,8640000,10000,95,24925,1
PieStream,3,2,8640000,10000,95,25501,1
PieStream,3,2,8640000,10000,95,25094,1
PieStream,3,2,8640000,10000,95,25111,1
PieStream,3,2,8640000,10000,95,25390,1
PieStream,3,2,8640000,10000,95,25342,1
PieStream,3,2,8640000,50000,95,25658,1
PieStream,3,2,8640000,50000,95,25659,1
PieStream,3,2,8640000,50000,95,25433,1
PieStream,3,2,8640000,50000,95,25545,1
PieStream,3,2,8640000,50000,95,25564,1
PieStream,3,2,8640000,50000,95,25442,1
PieStream,3,2,8640000,50000,95,25569,1
PieStream,3,2,8640000,50000,95,25389,1
PieStream,3,2,8640000,50000,95,25405,1
PieStream,3,2,8640000,50000,95,25680,1
PieStream,3,2,8640000,100000,95,25840,1
PieStream,3,2,8640000,100000,95,25748,1
PieStream,3,2,8640000,100000,95,25776,1
PieStream,3,2,8640000,100000,95,25988,1
PieStream,3,2,8640000,100000,95,26057,1
PieStream,3,2,8640000,100000,95,26200,1
PieStream,3,2,8640000,100000,95,25809,1
PieStream,3,2,8640000,100000,95,25957,1
PieStream,3,2,8640000,100000,95,25907,1
PieStream,3,2,8640000,100000,95,26032,1
PieStream,3,2,8640000,200000,95,26106,1
PieStream,3,2,8640000,200000,95,25677,1
PieStream,3,2,8640000,200000,95,26118,1
PieStream,3,2,8640000,200000,95,25702,1
PieStream,3,2,8640000,200000,95,26064,1
PieStream,3,2,8640000,200000,95,25881,1
PieStream,3,2,8640000,200000,95,26187,1
PieStream,3,2,8640000,200000,95,26294,1
PieStream,3,2,8640000,200000,95,25918,1
PieStream,3,2,8640000,200000,95,26086,1
PieStream,3,2,8640000,400000,95,26635,1
PieStream,3,2,8640000,400000,95,26393,1
PieStream,3,2,8640000,400000,95,26418,1
PieStream,3,2,8640000,400000,95,26358,1
PieStream,3,2,8640000,400000,95,25824,1
PieStream,3,2,8640000,400000,95,26056,1
PieStream,3,2,8640000,400000,95,26078,1
PieStream,3,2,8640000,400000,95,26039,1
PieStream,3,2,8640000,400000,95,25714,1
PieStream,3,2,8640000,400000,95,26270,1
PieStream,3,2,8640000,600000,95,25923,1
PieStream,3,2,8640000,600000,95,25889,1
PieStream,3,2,8640000,600000,95,26226,1
PieStream,3,2,8640000,600000,95,26022,1
PieStream,3,2,8640000,600000,95,26124,1
PieStream,3,2,8640000,600000,95,25991,1
PieStream,3,2,8640000,600000,95,26159,1
PieStream,3,2,8640000,600000,95,26306,1
PieStream,3,2,8640000,600000,95,25977,1
PieStream,3,2,8640000,600000,95,26057,1
PieStream,3,2,8640000,800000,95,26009,1
PieStream,3,2,8640000,800000,95,26200,1
PieStream,3,2,8640000,800000,95,25900,1
PieStream,3,2,8640000,800000,95,25713,1
PieStream,3,2,8640000,800000,95,25860,1
PieStream,3,2,8640000,800000,95,26023,1
PieStream,3,2,8640000,800000,95,26276,1
PieStream,3,2,8640000,800000,95,26229,1
PieStream,3,2,8640000,800000,95,26095,1
PieStream,3,2,8640000,800000,95,26112,1
PieStream,3,2,8640000,1000000,95,25980,1
PieStream,3,2,8640000,1000000,95,26276,1
PieStream,3,2,8640000,1000000,95,26126,1
PieStream,3,2,8640000,1000000,95,26161,1
PieStream,3,2,8640000,1000000,95,26054,1
PieStream,3,2,8640000,1000000,95,26091,1
PieStream,3,2,8640000,1000000,95,26035,1
PieStream,3,2,8640000,1000000,95,26383,1
PieStream,3,2,8640000,1000000,95,26088,1
PieStream,3,2,8640000,1000000,95,25764,1
PieStream,3,2,8640000,10000,164,27710,0
PieStream,3,2,8640000,10000,164,27028,0
PieStream,3,2,8640000,10000,164,27215,0
PieStream,3,2,8640000,10000,164,26796,0
