(DELL_G7)method,PIEs,MPPs,events,wind_size,result,all_used_time(ms),usePreciseRel
PieStream,4,5,8640000,864000,12,27197,1
PieStream,4,5,8640000,864000,12,27972,1
PieStream,4,5,8640000,864000,12,27960,1
PieStream,4,5,8640000,864000,12,26992,1
PieStream,4,5,8640000,864000,12,25572,1
PieStream,4,5,8640000,864000,12,25587,1
PieStream,4,5,8640000,864000,12,25391,1
PieStream,4,5,8640000,864000,12,25672,1
PieStream,4,5,8640000,864000,12,25731,1
PieStream,4,5,8640000,864000,12,25672,1
PieStream,4,5,8640000,1728000,12,25690,1
PieStream,4,5,8640000,1728000,12,25537,1
PieStream,4,5,8640000,1728000,12,25943,1
PieStream,4,5,8640000,1728000,12,26306,1
PieStream,4,5,8640000,1728000,12,25433,1
PieStream,4,5,8640000,1728000,12,25541,1
PieStream,4,5,8640000,1728000,12,25750,1
PieStream,4,5,8640000,1728000,12,25641,1
PieStream,4,5,8640000,1728000,12,25652,1
PieStream,4,5,8640000,1728000,12,25526,1
PieStream,4,5,8640000,2592000,12,25347,1
PieStream,4,5,8640000,2592000,12,25446,1
PieStream,4,5,8640000,2592000,12,25442,1
PieStream,4,5,8640000,2592000,12,27046,1
PieStream,4,5,8640000,2592000,12,26210,1
PieStream,4,5,8640000,2592000,12,25604,1
PieStream,4,5,8640000,2592000,12,25618,1
PieStream,4,5,8640000,2592000,12,25468,1
PieStream,4,5,8640000,2592000,12,25545,1
PieStream,4,5,8640000,2592000,12,25257,1
PieStream,4,5,8640000,3456000,12,25396,1
PieStream,4,5,8640000,3456000,12,25328,1
PieStream,4,5,8640000,3456000,12,25062,1
PieStream,4,5,8640000,3456000,12,25265,1
PieStream,4,5,8640000,3456000,12,25691,1
PieStream,4,5,8640000,3456000,12,25621,1
PieStream,4,5,8640000,3456000,12,25691,1
PieStream,4,5,8640000,3456000,12,25470,1
PieStream,4,5,8640000,3456000,12,25466,1
PieStream,4,5,8640000,3456000,12,25429,1
PieStream,4,5,8640000,4320000,12,25695,1
PieStream,4,5,8640000,4320000,12,25134,1
PieStream,4,5,8640000,4320000,12,25824,1
PieStream,4,5,8640000,4320000,12,25307,1
PieStream,4,5,8640000,4320000,12,25605,1
PieStream,4,5,8640000,4320000,12,25946,1
PieStream,4,5,8640000,4320000,12,25365,1
PieStream,4,5,8640000,4320000,12,25269,1
PieStream,4,5,8640000,4320000,12,25455,1
PieStream,4,5,8640000,4320000,12,25264,1
PieStream,4,5,8640000,5184000,12,25121,1
PieStream,4,5,8640000,5184000,12,25418,1
PieStream,4,5,8640000,5184000,12,25178,1
PieStream,4,5,8640000,5184000,12,25456,1
PieStream,4,5,8640000,5184000,12,25215,1
PieStream,4,5,8640000,5184000,12,25640,1
PieStream,4,5,8640000,5184000,12,25748,1
PieStream,4,5,8640000,5184000,12,25645,1
PieStream,4,5,8640000,5184000,12,25018,1
PieStream,4,5,8640000,5184000,12,25261,1
PieStream,4,5,8640000,6048000,12,25217,1
PieStream,4,5,8640000,6048000,12,25008,1
PieStream,4,5,8640000,6048000,12,25200,1
PieStream,4,5,8640000,6048000,12,25331,1
PieStream,4,5,8640000,6048000,12,25360,1
PieStream,4,5,8640000,6048000,12,25283,1
PieStream,4,5,8640000,6048000,12,25560,1
PieStream,4,5,8640000,6048000,12,25689,1
PieStream,4,5,8640000,6048000,12,25332,1
PieStream,4,5,8640000,6048000,12,24986,1
PieStream,4,5,8640000,6912000,12,25035,1
PieStream,4,5,8640000,6912000,12,25082,1
PieStream,4,5,8640000,6912000,12,25528,1
PieStream,4,5,8640000,6912000,12,25002,1
PieStream,4,5,8640000,6912000,12,24873,1
PieStream,4,5,8640000,6912000,12,25419,1
PieStream,4,5,8640000,6912000,12,25091,1
PieStream,4,5,8640000,6912000,12,25352,1
PieStream,4,5,8640000,6912000,12,25136,1
PieStream,4,5,8640000,6912000,12,25114,1
PieStream,4,5,8640000,7776000,12,25589,1
PieStream,4,5,8640000,7776000,12,25177,1
PieStream,4,5,8640000,7776000,12,25500,1
PieStream,4,5,8640000,7776000,12,25377,1
PieStream,4,5,8640000,7776000,12,25249,1
PieStream,4,5,8640000,7776000,12,25305,1
PieStream,4,5,8640000,7776000,12,25421,1
PieStream,4,5,8640000,7776000,12,24928,1
PieStream,4,5,8640000,7776000,12,25342,1
PieStream,4,5,8640000,7776000,12,25288,1
PieStream,4,5,8640000,8640000,12,25252,1
PieStream,4,5,8640000,8640000,12,25021,1
PieStream,4,5,8640000,8640000,12,25790,1
PieStream,4,5,8640000,8640000,12,25354,1
PieStream,4,5,8640000,8640000,12,25469,1
PieStream,4,5,8640000,8640000,12,25286,1
PieStream,4,5,8640000,8640000,12,24887,1
PieStream,4,5,8640000,8640000,12,25182,1
PieStream,4,5,8640000,8640000,12,25349,1
PieStream,4,5,8640000,8640000,12,25063,1
PieStream,4,5,8640000,864000,57,28429,0
PieStream,4,5,8640000,864000,57,28422,0
