(DELL_G7)method,PIEs,MPPs,events,wind_size,result,all_used_time(ms),usePreciseRel
PieStream,4,5,8640000,10000,95,27176,1
PieStream,4,5,8640000,10000,95,26535,1
PieStream,4,5,8640000,10000,95,28150,1
PieStream,4,5,8640000,10000,95,27639,1
PieStream,4,5,8640000,10000,95,26699,1
PieStream,4,5,8640000,10000,95,25747,1
PieStream,4,5,8640000,10000,95,25654,1
PieStream,4,5,8640000,10000,95,25000,1
PieStream,4,5,8640000,10000,95,25321,1
PieStream,4,5,8640000,10000,95,25019,1
PieStream,4,5,8640000,50000,95,25497,1
PieStream,4,5,8640000,50000,95,25299,1
PieStream,4,5,8640000,50000,95,25508,1
PieStream,4,5,8640000,50000,95,25420,1
PieStream,4,5,8640000,50000,95,25475,1
PieStream,4,5,8640000,50000,95,25604,1
PieStream,4,5,8640000,50000,95,25528,1
PieStream,4,5,8640000,50000,95,25188,1
PieStream,4,5,8640000,50000,95,25610,1
PieStream,4,5,8640000,50000,95,25365,1
PieStream,4,5,8640000,100000,95,26238,1
PieStream,4,5,8640000,100000,95,25926,1
PieStream,4,5,8640000,100000,95,26075,1
PieStream,4,5,8640000,100000,95,25654,1
PieStream,4,5,8640000,100000,95,25951,1
PieStream,4,5,8640000,100000,95,25684,1
PieStream,4,5,8640000,100000,95,26029,1
PieStream,4,5,8640000,100000,95,26271,1
PieStream,4,5,8640000,100000,95,26381,1
PieStream,4,5,8640000,100000,95,26494,1
PieStream,4,5,8640000,200000,95,27131,1
PieStream,4,5,8640000,200000,95,26436,1
PieStream,4,5,8640000,200000,95,25939,1
PieStream,4,5,8640000,200000,95,26493,1
PieStream,4,5,8640000,200000,95,26019,1
PieStream,4,5,8640000,200000,95,26258,1
PieStream,4,5,8640000,200000,95,25955,1
PieStream,4,5,8640000,200000,95,26008,1
PieStream,4,5,8640000,200000,95,26613,1
PieStream,4,5,8640000,200000,95,25852,1
PieStream,4,5,8640000,400000,95,25644,1
PieStream,4,5,8640000,400000,95,26324,1
PieStream,4,5,8640000,400000,95,26090,1
PieStream,4,5,8640000,400000,95,26063,1
PieStream,4,5,8640000,400000,95,26153,1
PieStream,4,5,8640000,400000,95,25995,1
PieStream,4,5,8640000,400000,95,25880,1
PieStream,4,5,8640000,400000,95,26089,1
PieStream,4,5,8640000,400000,95,26053,1
PieStream,4,5,8640000,400000,95,25830,1
PieStream,4,5,8640000,600000,95,25946,1
PieStream,4,5,8640000,600000,95,26405,1
PieStream,4,5,8640000,600000,95,26170,1
PieStream,4,5,8640000,600000,95,26388,1
PieStream,4,5,8640000,600000,95,26470,1
PieStream,4,5,8640000,600000,95,26011,1
PieStream,4,5,8640000,600000,95,26703,1
PieStream,4,5,8640000,600000,95,26086,1
PieStream,4,5,8640000,600000,95,26378,1
PieStream,4,5,8640000,600000,95,25981,1
PieStream,4,5,8640000,800000,95,26103,1
PieStream,4,5,8640000,800000,95,26060,1
PieStream,4,5,8640000,800000,95,26005,1
PieStream,4,5,8640000,800000,95,26136,1
PieStream,4,5,8640000,800000,95,26159,1
PieStream,4,5,8640000,800000,95,26074,1
PieStream,4,5,8640000,800000,95,25894,1
PieStream,4,5,8640000,800000,95,26195,1
PieStream,4,5,8640000,800000,95,26007,1
PieStream,4,5,8640000,800000,95,26048,1
PieStream,4,5,8640000,1000000,95,26404,1
PieStream,4,5,8640000,1000000,95,26106,1
PieStream,4,5,8640000,1000000,95,26360,1
PieStream,4,5,8640000,1000000,95,26254,1
PieStream,4,5,8640000,1000000,95,26630,1
PieStream,4,5,8640000,1000000,95,26279,1
PieStream,4,5,8640000,1000000,95,26198,1
PieStream,4,5,8640000,1000000,95,26160,1
PieStream,4,5,8640000,1000000,95,26023,1
PieStream,4,5,8640000,1000000,95,26322,1
PieStream,4,5,8640000,10000,164,27252,0
PieStream,4,5,8640000,10000,164,27528,0
PieStream,4,5,8640000,10000,164,27638,0
PieStream,4,5,8640000,10000,164,27022,0
PieStream,4,5,8640000,10000,164,27026,0
PieStream,4,5,8640000,10000,164,26938,0
PieStream,4,5,8640000,10000,164,27368,0
PieStream,4,5,8640000,10000,164,27214,0
PieStream,4,5,8640000,10000,164,27002,0
PieStream,4,5,8640000,10000,164,27413,0
PieStream,4,5,8640000,50000,264,27870,0
PieStream,4,5,8640000,50000,264,27731,0
PieStream,4,5,8640000,50000,264,28093,0
PieStream,4,5,8640000,50000,264,28111,0
PieStream,4,5,8640000,50000,264,28007,0
PieStream,4,5,8640000,50000,264,27721,0
PieStream,4,5,8640000,50000,264,27905,0
PieStream,4,5,8640000,50000,264,28025,0
PieStream,4,5,8640000,50000,264,27650,0
PieStream,4,5,8640000,50000,264,27948,0
PieStream,4,5,8640000,100000,602,28816,0
PieStream,4,5,8640000,100000,602,28697,0
PieStream,4,5,8640000,100000,602,28707,0
PieStream,4,5,8640000,100000,602,28816,0
PieStream,4,5,8640000,100000,602,28527,0
PieStream,4,5,8640000,100000,602,28833,0
PieStream,4,5,8640000,100000,602,29253,0
PieStream,4,5,8640000,100000,602,29079,0
PieStream,4,5,8640000,100000,602,28920,0
PieStream,4,5,8640000,100000,602,28400,0
PieStream,4,5,8640000,200000,1151,28736,0
PieStream,4,5,8640000,200000,1151,29338,0
PieStream,4,5,8640000,200000,1151,29013,0
PieStream,4,5,8640000,200000,1151,28913,0
PieStream,4,5,8640000,200000,1151,29717,0
PieStream,4,5,8640000,200000,1151,28877,0
PieStream,4,5,8640000,200000,1151,29257,0
PieStream,4,5,8640000,200000,1151,29168,0
PieStream,4,5,8640000,200000,1151,28897,0
PieStream,4,5,8640000,200000,1151,28994,0
PieStream,4,5,8640000,400000,2279,28859,0
PieStream,4,5,8640000,400000,2279,29130,0
PieStream,4,5,8640000,400000,2279,29042,0
PieStream,4,5,8640000,400000,2279,28860,0
PieStream,4,5,8640000,400000,2279,29169,0
PieStream,4,5,8640000,400000,2279,28636,0
PieStream,4,5,8640000,400000,2279,29827,0
PieStream,4,5,8640000,400000,2279,28819,0
PieStream,4,5,8640000,400000,2279,29106,0
PieStream,4,5,8640000,400000,2279,29003,0
PieStream,4,5,8640000,600000,3329,29478,0
PieStream,4,5,8640000,600000,3329,29330,0
PieStream,4,5,8640000,600000,3329,29449,0
PieStream,4,5,8640000,600000,3329,28863,0
PieStream,4,5,8640000,600000,3329,28867,0
PieStream,4,5,8640000,600000,3329,28987,0
PieStream,4,5,8640000,600000,3329,29267,0
PieStream,4,5,8640000,600000,3329,28940,0
PieStream,4,5,8640000,600000,3329,29176,0
PieStream,4,5,8640000,600000,3329,29281,0
PieStream,4,5,8640000,800000,4343,28949,0
PieStream,4,5,8640000,800000,4343,29246,0
PieStream,4,5,8640000,800000,4343,29136,0
PieStream,4,5,8640000,800000,4343,29311,0
PieStream,4,5,8640000,800000,4343,28879,0
PieStream,4,5,8640000,800000,4343,28909,0
PieStream,4,5,8640000,800000,4343,29126,0
PieStream,4,5,8640000,800000,4343,29227,0
PieStream,4,5,8640000,800000,4343,28781,0
PieStream,4,5,8640000,800000,4343,29549,0
PieStream,4,5,8640000,1000000,5344,28884,0
PieStream,4,5,8640000,1000000,5344,29441,0
PieStream,4,5,8640000,1000000,5344,29314,0
PieStream,4,5,8640000,1000000,5344,29238,0
PieStream,4,5,8640000,1000000,5344,29147,0
PieStream,4,5,8640000,1000000,5344,29138,0
PieStream,4,5,8640000,1000000,5344,28681,0
PieStream,4,5,8640000,1000000,5344,29510,0
PieStream,4,5,8640000,1000000,5344,29231,0
PieStream,4,5,8640000,1000000,5344,29345,0
