
col,limit,windSize,output
12,1000,1000,===============  COL 12 ROW 1000 ===============
12,1000,5000,===============  COL 12 ROW 1000 ===============
12,1000,10000,===============  COL 12 ROW 1000 ===============
12,1000,50000,===============  COL 12 ROW 1000 ===============
12,1000,100000,===============  COL 12 ROW 1000 ===============
12,5000,1000,===============  COL 12 ROW 5000 ===============
12,5000,5000,===============  COL 12 ROW 5000 ===============
12,5000,10000,===============  COL 12 ROW 5000 ===============
12,5000,50000,===============  COL 12 ROW 5000 ===============
12,5000,100000,===============  COL 12 ROW 5000 ===============
12,10000,1000,===============  COL 12 ROW 10000 ===============
12,10000,5000,===============  COL 12 ROW 10000 ===============
12,10000,10000,===============  COL 12 ROW 10000 ===============
12,10000,50000,===============  COL 12 ROW 10000 ===============
12,10000,100000,===============  COL 12 ROW 10000 ===============
12,50000,1000,===============  COL 12 ROW 50000 ===============
12,50000,5000,===============  COL 12 ROW 50000 ===============
12,50000,10000,===============  COL 12 ROW 50000 ===============
12,50000,50000,===============  COL 12 ROW 50000 ===============
12,50000,100000,===============  COL 12 ROW 50000 ===============
12,100000,1000,===============  COL 12 ROW 100000 ===============
12,100000,5000,===============  COL 12 ROW 100000 ===============
12,100000,10000,===============  COL 12 ROW 100000 ===============
12,100000,50000,===============  COL 12 ROW 100000 ===============
12,100000,100000,===============  COL 12 ROW 100000 ===============
12,500000,1000,===============  COL 12 ROW 500000 ===============
12,500000,5000,===============  COL 12 ROW 500000 ===============
12,500000,10000,===============  COL 12 ROW 500000 ===============
12,500000,50000,===============  COL 12 ROW 500000 ===============
12,500000,100000,===============  COL 12 ROW 500000 ===============
12,1000000,1000,===============  COL 12 ROW 1000000 ===============
12,1000000,5000,===============  COL 12 ROW 1000000 ===============
12,1000000,10000,===============  COL 12 ROW 1000000 ===============
12,1000000,50000,===============  COL 12 ROW 1000000 ===============
12,1000000,100000,===============  COL 12 ROW 1000000 ===============
12,5000000,1000,===============  COL 12 ROW 5000000 ===============
12,5000000,5000,===============  COL 12 ROW 5000000 ===============
12,5000000,10000,===============  COL 12 ROW 5000000 ===============
12,5000000,50000,===============  COL 12 ROW 5000000 ===============
12,5000000,100000,===============  COL 12 ROW 5000000 ===============
12,10000000,1000,===============  COL 12 ROW 10000000 ===============
12,10000000,5000,===============  COL 12 ROW 10000000 ===============
12,10000000,10000,===============  COL 12 ROW 10000000 ===============
12,10000000,50000,===============  COL 12 ROW 10000000 ===============
12,10000000,100000,===============  COL 12 ROW 10000000 ===============
14,1000,1000,===============  COL 14 ROW 1000 ===============
14,1000,5000,===============  COL 14 ROW 1000 ===============
14,1000,10000,===============  COL 14 ROW 1000 ===============
14,1000,50000,===============  COL 14 ROW 1000 ===============
14,1000,100000,===============  COL 14 ROW 1000 ===============
14,5000,1000,===============  COL 14 ROW 5000 ===============
14,5000,5000,===============  COL 14 ROW 5000 ===============
14,5000,10000,===============  COL 14 ROW 5000 ===============
14,5000,50000,===============  COL 14 ROW 5000 ===============
14,5000,100000,===============  COL 14 ROW 5000 ===============
14,10000,1000,===============  COL 14 ROW 10000 ===============
14,10000,5000,===============  COL 14 ROW 10000 ===============
14,10000,10000,===============  COL 14 ROW 10000 ===============
14,10000,50000,===============  COL 14 ROW 10000 ===============
14,10000,100000,===============  COL 14 ROW 10000 ===============
14,50000,1000,===============  COL 14 ROW 50000 ===============
14,50000,5000,===============  COL 14 ROW 50000 ===============
14,50000,10000,===============  COL 14 ROW 50000 ===============
14,50000,50000,===============  COL 14 ROW 50000 ===============
14,50000,100000,===============  COL 14 ROW 50000 ===============
14,100000,1000,===============  COL 14 ROW 100000 ===============
14,100000,5000,===============  COL 14 ROW 100000 ===============
14,100000,10000,===============  COL 14 ROW 100000 ===============
14,100000,50000,===============  COL 14 ROW 100000 ===============
14,100000,100000,===============  COL 14 ROW 100000 ===============
14,500000,1000,===============  COL 14 ROW 500000 ===============
14,500000,5000,===============  COL 14 ROW 500000 ===============
14,500000,10000,===============  COL 14 ROW 500000 ===============
14,500000,50000,
