(DELL_G7)method,PIEs,MPPs,events,wind_size,result,all_used_time(ms)
PieStream,4,3,1000,10000,23,36
PieStream,4,3,1000,10000,23,36
PieStream,4,3,1000,10000,23,39
PieStream,4,3,1000,10000,23,40
PieStream,4,3,1000,10000,23,35
PieStream,4,3,1000,10000,23,38
PieStream,4,3,1000,10000,23,50
PieStream,4,3,1000,10000,23,51
PieStream,4,3,1000,10000,23,38
PieStream,4,3,1000,10000,23,41
PieStream,4,3,10000,10000,185,136
PieStream,4,3,10000,10000,185,111
PieStream,4,3,10000,10000,185,174
PieStream,4,3,10000,10000,185,130
PieStream,4,3,10000,10000,185,112
PieStream,4,3,10000,10000,185,110
PieStream,4,3,10000,10000,185,109
PieStream,4,3,10000,10000,185,123
PieStream,4,3,10000,10000,185,113
PieStream,4,3,10000,10000,185,109
PieStream,4,3,100000,10000,1862,462
PieStream,4,3,100000,10000,1862,462
PieStream,4,3,100000,10000,1862,471
PieStream,4,3,100000,10000,1862,472
PieStream,4,3,100000,10000,1862,467
PieStream,4,3,100000,10000,1862,457
PieStream,4,3,100000,10000,1862,459
PieStream,4,3,100000,10000,1862,460
PieStream,4,3,100000,10000,1862,458
PieStream,4,3,100000,10000,1862,456
PieStream,4,3,1000000,10000,17797,2653
PieStream,4,3,1000000,10000,17797,2755
PieStream,4,3,1000000,10000,17797,2772
PieStream,4,3,1000000,10000,17797,2892
PieStream,4,3,1000000,10000,17797,2809
PieStream,4,3,1000000,10000,17797,3026
PieStream,4,3,1000000,10000,17797,2860
PieStream,4,3,1000000,10000,17797,2709
PieStream,4,3,1000000,10000,17797,3197
PieStream,4,3,1000000,10000,17797,3298
PieStream,4,3,10000000,10000,180726,28178
PieStream,4,3,10000000,10000,180726,26745
PieStream,4,3,10000000,10000,180726,26864
PieStream,4,3,10000000,10000,180726,27589
