method,PIEs,MPPs,events,wind_size,result,processed_time(ms)
PieStream,4,3,1000,10000,23,41
PieStream,4,3,1000,10000,23,38
PieStream,4,3,1000,10000,23,60
PieStream,4,3,1000,10000,23,36
PieStream,4,3,1000,10000,23,38
PieStream,4,3,1000,10000,23,36
PieStream,4,3,1000,10000,23,36
PieStream,4,3,1000,10000,23,39
PieStream,4,3,1000,10000,23,38
PieStream,4,3,1000,10000,23,47
PieStream,4,3,10000,10000,185,120
PieStream,4,3,10000,10000,185,135
PieStream,4,3,10000,10000,185,113
PieStream,4,3,10000,10000,185,134
PieStream,4,3,10000,10000,185,119
PieStream,4,3,10000,10000,185,130
PieStream,4,3,10000,10000,185,162
PieStream,4,3,10000,10000,185,118
PieStream,4,3,10000,10000,185,123
PieStream,4,3,10000,10000,185,113
PieStream,4,3,100000,10000,1862,507
PieStream,4,3,100000,10000,1862,518
PieStream,4,3,100000,10000,1862,506
PieStream,4,3,100000,10000,1862,517
PieStream,4,3,100000,10000,1862,557
PieStream,4,3,100000,10000,1862,495
PieStream,4,3,100000,10000,1862,527
PieStream,4,3,100000,10000,1862,528
PieStream,4,3,100000,10000,1862,491
PieStream,4,3,100000,10000,1862,490
PieStream,4,3,1000000,10000,17797,2795
PieStream,4,3,1000000,10000,17797,2816
PieStream,4,3,1000000,10000,17797,2771
PieStream,4,3,1000000,10000,17797,3141
PieStream,4,3,1000000,10000,17797,2979
PieStream,4,3,1000000,10000,17797,2835
PieStream,4,3,1000000,10000,17797,3014
PieStream,4,3,1000000,10000,17797,2919
PieStream,4,3,1000000,10000,17797,2915
PieStream,4,3,1000000,10000,17797,2995
PieStream,4,3,10000000,10000,180726,27892
PieStream,4,3,10000000,10000,180726,26948
PieStream,4,3,10000000,10000,180726,27210
PieStream,4,3,10000000,10000,180726,27036
PieStream,4,3,10000000,10000,180726,26302
PieStream,4,3,10000000,10000,180726,26836
PieStream,4,3,10000000,10000,180726,26400
PieStream,4,3,10000000,10000,180726,27050
PieStream,4,3,10000000,10000,180726,26770
PieStream,4,3,10000000,10000,180726,26773
PieStream,6,5,1000,10000,31,41
PieStream,6,5,1000,10000,31,41
PieStream,6,5,1000,10000,31,40
PieStream,6,5,1000,10000,31,41
PieStream,6,5,1000,10000,31,43
PieStream,6,5,1000,10000,31,40
PieStream,6,5,1000,10000,31,41
PieStream,6,5,1000,10000,31,42
PieStream,6,5,1000,10000,31,56
PieStream,6,5,1000,10000,31,85
PieStream,6,5,10000,10000,276,144
PieStream,6,5,10000,10000,276,145
PieStream,6,5,10000,10000,276,143
PieStream,6,5,10000,10000,276,136
PieStream,6,5,10000,10000,276,138
PieStream,6,5,10000,10000,276,141
PieStream,6,5,10000,10000,276,144
PieStream,6,5,10000,10000,276,162
PieStream,6,5,10000,10000,276,164
PieStream,6,5,10000,10000,276,144
PieStream,6,5,100000,10000,2534,709
PieStream,6,5,100000,10000,2534,759
PieStream,6,5,100000,10000,2534,727
PieStream,6,5,100000,10000,2534,679
PieStream,6,5,100000,10000,2534,686
PieStream,6,5,100000,10000,2534,699
PieStream,6,5,100000,10000,2534,691
PieStream,6,5,100000,10000,2534,685
PieStream,6,5,100000,10000,2534,677
PieStream,6,5,100000,10000,2534,691
PieStream,6,5,1000000,10000,25053,4102
PieStream,6,5,1000000,10000,25053,4254
PieStream,6,5,1000000,10000,25053,4221
PieStream,6,5,1000000,10000,25053,4144
PieStream,6,5,1000000,10000,25053,4145
PieStream,6,5,1000000,10000,25053,4266
PieStream,6,5,1000000,10000,25053,4132
PieStream,6,5,1000000,10000,25053,4303
PieStream,6,5,1000000,10000,25053,4118
PieStream,6,5,1000000,10000,25053,4047
PieStream,6,5,10000000,10000,249187,39594
PieStream,6,5,10000000,10000,249187,39545
PieStream,6,5,10000000,10000,249187,39551
PieStream,6,5,10000000,10000,249187,39930
PieStream,6,5,10000000,10000,249187,41124
PieStream,6,5,10000000,10000,249187,40590
PieStream,6,5,10000000,10000,249187,39063
PieStream,6,5,10000000,10000,249187,40021
PieStream,6,5,10000000,10000,249187,39303
PieStream,6,5,10000000,10000,249187,40443
PieStream,8,7,1000,10000,13,44
PieStream,8,7,1000,10000,13,49
PieStream,8,7,1000,10000,13,46
PieStream,8,7,1000,10000,13,57
PieStream,8,7,1000,10000,13,47
PieStream,8,7,1000,10000,13,46
PieStream,8,7,1000,10000,13,53
PieStream,8,7,1000,10000,13,46
PieStream,8,7,1000,10000,13,46
PieStream,8,7,1000,10000,13,47
PieStream,8,7,10000,10000,296,209
PieStream,8,7,10000,10000,296,190
PieStream,8,7,10000,10000,296,167
PieStream,8,7,10000,10000,296,165
PieStream,8,7,10000,10000,296,167
PieStream,8,7,10000,10000,296,169
PieStream,8,7,10000,10000,296,165
PieStream,8,7,10000,10000,296,163
PieStream,8,7,10000,10000,296,166
PieStream,8,7,10000,10000,296,161
PieStream,8,7,100000,10000,3341,952
PieStream,8,7,100000,10000,3341,936
PieStream,8,7,100000,10000,3341,936
PieStream,8,7,100000,10000,3341,894
PieStream,8,7,100000,10000,3341,904
PieStream,8,7,100000,10000,3341,910
PieStream,8,7,100000,10000,3341,918
PieStream,8,7,100000,10000,3341,961
PieStream,8,7,100000,10000,3341,936
PieStream,8,7,100000,10000,3341,923
PieStream,8,7,1000000,10000,35171,5874
PieStream,8,7,1000000,10000,35171,6204
