VID,SPEED,ACCEL,XWay,Lane,Dir,Seg,Pos,ts,te
404,20,0.0,0,0,1,95,506868,13000,13001
404,20,0.0,0,0,1,95,506845,14000,14001
404,20,0.0,0,0,1,95,506822,15000,15001
404,20,0.0,0,0,1,95,506799,16000,16001
404,20,0.0,0,0,1,95,506775,17000,17001
404,19,-0.001,0,0,1,95,506753,18000,18001
404,16,-0.003,0,0,1,95,506734,19000,19001
404,16,0.0,0,0,1,95,506716,20000,20001
404,17,0.001,0,0,1,95,506697,21000,21001
404,19,0.002,0,0,1,95,506676,22000,22001
404,20,0.001,0,0,1,95,506653,23000,23001
404,20,0.0,0,0,1,95,506630,24000,24001
404,20,0.0,0,0,1,95,506606,25000,25001
404,20,0.0,0,0,1,95,506583,26000,26001
404,20,0.0,0,0,1,95,506560,27000,27001
404,20,0.0,0,0,1,95,506537,28000,28001
404,20,0.0,0,0,1,95,506514,29000,29001
404,20,0.0,0,0,1,95,506491,30000,30001
404,20,0.0,0,0,1,95,506468,31000,31001
404,20,0.0,0,0,1,95,506444,32000,32001
404,20,0.0,0,0,1,95,506421,33000,33001
404,20,0.0,0,0,1,95,506398,34000,34001
404,20,0.0,0,0,1,95,506375,35000,35001
404,20,0.0,0,0,1,95,506352,36000,36001
404,20,0.0,0,0,1,95,506329,37000,37001
404,20,0.0,0,0,1,95,506305,38000,38001
404,20,0.0,0,0,1,95,506282,39000,39001
404,20,0.0,0,0,1,95,506259,40000,40001
404,20,0.0,0,0,1,95,506236,41000,41001
404,20,0.0,0,0,1,95,506213,42000,42001
404,20,0.0,0,0,1,95,506190,43000,43001
404,20,0.0,0,0,1,95,506167,44000,44001
404,20,0.0,0,0,1,95,506143,45000,45001
404,20,0.0,0,0,1,95,506120,46000,46001
404,20,0.0,0,0,1,95,506097,47000,47001
404,20,0.0,0,0,1,95,506074,48000,48001
404,20,0.0,0,0,1,95,506051,49000,49001
404,20,0.0,0,0,1,95,506028,50000,50001
404,20,0.0,0,0,1,95,506004,51000,51001
404,20,0.0,0,0,1,95,505981,52000,52001
404,20,0.0,0,0,1,95,505958,53000,53001
404,20,0.0,0,0,1,95,505935,54000,54001
404,20,0.0,0,0,1,95,505912,55000,55001
404,20,0.0,0,0,1,95,505889,56000,56001
404,26,0.006,0,3,1,95,505852,57000,57001
404,27,0.001,0,3,1,95,505812,58000,58001
404,32,0.005,0,3,1,95,505765,59000,59001
404,37,0.005,0,3,1,95,505711,60000,60001
404,41,0.004,0,3,1,95,505651,61000,61001
404,44,0.003,0,3,1,95,505585,62000,62001
404,44,0.0,0,3,1,95,505520,63000,63001
404,45,0.001,0,3,1,95,505455,64000,64001
404,44,-0.001,0,3,1,95,505390,65000,65001
404,45,0.001,0,3,1,95,505324,66000,66001
404,44,-0.001,0,3,1,95,505259,67000,67001
404,45,0.001,0,3,1,95,505194,68000,68001
404,44,-0.001,0,2,1,95,505129,69000,69001
